Top terms for 16 clusters

Cluster 1: ['apparent magnitude (p1215) unit 1', 'sex or gender (p21) male (q6581097)', 'sex or gender (p21) female (q6581072)', 'radial velocity (p2216) unit http://www.wikidata.org/entity/q3674704', 'proper motion (p2215) unit http://www.wikidata.org/entity/q22137107', 'population (p1082) unit 1', 'patronage (p3872) unit 1', 'patronage (p3872) amount +0', 'occupation (p106) politician (q82955)', 'occupation (p106) astronaut (q11631)']

Cluster 2: ['apparent magnitude (p1215) unit 1', 'sex or gender (p21) male (q6581097)', 'sex or gender (p21) female (q6581072)', 'radial velocity (p2216) unit http://www.wikidata.org/entity/q3674704', 'proper motion (p2215) unit http://www.wikidata.org/entity/q22137107', 'population (p1082) unit 1', 'patronage (p3872) unit 1', 'patronage (p3872) amount +0', 'occupation (p106) politician (q82955)', 'occupation (p106) astronaut (q11631)']

Cluster 3: ['apparent magnitude (p1215) unit 1', 'sex or gender (p21) male (q6581097)', 'radial velocity (p2216) unit http://www.wikidata.org/entity/q3674704', 'proper motion (p2215) unit http://www.wikidata.org/entity/q22137107', 'population (p1082) unit 1', 'patronage (p3872) unit 1', 'patronage (p3872) amount +0', 'occupation (p106) astronaut (q11631)', 'number of speakers (p1098) unit 1', 'instance of (p31) sports team (q12973014)']

Cluster 4: ['apparent magnitude (p1215) unit 1', 'sex or gender (p21) female (q6581072)', 'radial velocity (p2216) unit http://www.wikidata.org/entity/q3674704', 'proper motion (p2215) unit http://www.wikidata.org/entity/q22137107', 'population (p1082) unit 1', 'patronage (p3872) unit 1', 'patronage (p3872) amount +0', 'occupation (p106) politician (q82955)', 'occupation (p106) astronaut (q11631)', 'number of speakers (p1098) unit 1']

Cluster 5: ['instance of (p31) human (q5)', 'sex or gender (p21) male (q6581097)', 'sex or gender (p21) female (q6581072)', 'population (p1082) unit 1', 'patronage (p3872) unit 1', 'patronage (p3872) amount +0', 'occupation (p106) politician (q82955)', 'occupation (p106) astronaut (q11631)', 'number of speakers (p1098) unit 1', 'instance of (p31) sports team (q12973014)']

Cluster 6: ['apparent magnitude (p1215) unit 1', 'number of speakers (p1098) unit 1', 'instance of (p31) modern language (q1288568)', 'instance of (p31) language (q34770)', 'patronage (p3872) unit 1', 'instance of (p31) food (q2095)', 'population (p1082) unit 1', 'patronage (p3872) amount +0', 'instance of (p31) building (q41176)', 'instance of (p31) city/town (q7930989)']

Cluster 7: ['apparent magnitude (p1215) unit 1', 'sex or gender (p21) male (q6581097)', 'sex or gender (p21) female (q6581072)', 'radial velocity (p2216) unit http://www.wikidata.org/entity/q3674704', 'proper motion (p2215) unit http://www.wikidata.org/entity/q22137107', 'population (p1082) unit 1', 'patronage (p3872) unit 1', 'patronage (p3872) amount +0', 'occupation (p106) politician (q82955)', 'occupation (p106) astronaut (q11631)']

Cluster 8: ['apparent magnitude (p1215) unit 1', 'sex or gender (p21) male (q6581097)', 'sex or gender (p21) female (q6581072)', 'radial velocity (p2216) unit http://www.wikidata.org/entity/q3674704', 'proper motion (p2215) unit http://www.wikidata.org/entity/q22137107', 'population (p1082) unit 1', 'patronage (p3872) unit 1', 'patronage (p3872) amount +0', 'occupation (p106) politician (q82955)', 'occupation (p106) astronaut (q11631)']

Cluster 9: ['apparent magnitude (p1215) unit 1', 'sex or gender (p21) male (q6581097)', 'sex or gender (p21) female (q6581072)', 'radial velocity (p2216) unit http://www.wikidata.org/entity/q3674704', 'proper motion (p2215) unit http://www.wikidata.org/entity/q22137107', 'patronage (p3872) unit 1', 'patronage (p3872) amount +0', 'occupation (p106) politician (q82955)', 'occupation (p106) astronaut (q11631)', 'occupation (p106) artist (q483501)']

Cluster 10: ['apparent magnitude (p1215) unit 1', 'radial velocity (p2216) unit http://www.wikidata.org/entity/q3674704', 'proper motion (p2215) unit http://www.wikidata.org/entity/q22137107', 'population (p1082) unit 1', 'patronage (p3872) unit 1', 'patronage (p3872) amount +0', 'occupation (p106) politician (q82955)', 'occupation (p106) artist (q483501)', 'number of speakers (p1098) unit 1', 'instance of (p31) sports team (q12973014)']

Cluster 11: ['apparent magnitude (p1215) unit 1', 'proper motion (p2215) unit http://www.wikidata.org/entity/q22137107', 'population (p1082) unit 1', 'patronage (p3872) unit 1', 'patronage (p3872) amount +0', 'occupation (p106) artist (q483501)', 'number of speakers (p1098) unit 1', 'instance of (p31) sports team (q12973014)', 'instance of (p31) modern language (q1288568)', 'instance of (p31) language (q34770)']

Cluster 12: ['apparent magnitude (p1215) unit 1', 'sex or gender (p21) female (q6581072)', 'radial velocity (p2216) unit http://www.wikidata.org/entity/q3674704', 'proper motion (p2215) unit http://www.wikidata.org/entity/q22137107', 'population (p1082) unit 1', 'patronage (p3872) unit 1', 'patronage (p3872) amount +0', 'number of speakers (p1098) unit 1', 'instance of (p31) sports team (q12973014)', 'instance of (p31) modern language (q1288568)']

Cluster 13: ['apparent magnitude (p1215) unit 1', 'sex or gender (p21) male (q6581097)', 'sex or gender (p21) female (q6581072)', 'radial velocity (p2216) unit http://www.wikidata.org/entity/q3674704', 'proper motion (p2215) unit http://www.wikidata.org/entity/q22137107', 'population (p1082) unit 1', 'patronage (p3872) unit 1', 'patronage (p3872) amount +0', 'occupation (p106) politician (q82955)', 'occupation (p106) astronaut (q11631)']

Cluster 14: ['apparent magnitude (p1215) unit 1', 'sex or gender (p21) male (q6581097)', 'sex or gender (p21) female (q6581072)', 'radial velocity (p2216) unit http://www.wikidata.org/entity/q3674704', 'proper motion (p2215) unit http://www.wikidata.org/entity/q22137107', 'population (p1082) unit 1', 'patronage (p3872) unit 1', 'patronage (p3872) amount +0', 'occupation (p106) politician (q82955)', 'occupation (p106) astronaut (q11631)']

Cluster 15: ['apparent magnitude (p1215) unit 1', 'sex or gender (p21) male (q6581097)', 'sex or gender (p21) female (q6581072)', 'radial velocity (p2216) unit http://www.wikidata.org/entity/q3674704', 'proper motion (p2215) unit http://www.wikidata.org/entity/q22137107', 'population (p1082) unit 1', 'occupation (p106) politician (q82955)', 'occupation (p106) astronaut (q11631)', 'occupation (p106) artist (q483501)', 'number of speakers (p1098) unit 1']

Cluster 16: ['apparent magnitude (p1215) unit 1', 'sex or gender (p21) male (q6581097)', 'sex or gender (p21) female (q6581072)', 'radial velocity (p2216) unit http://www.wikidata.org/entity/q3674704', 'proper motion (p2215) unit http://www.wikidata.org/entity/q22137107', 'population (p1082) unit 1', 'patronage (p3872) unit 1', 'patronage (p3872) amount +0', 'occupation (p106) politician (q82955)', 'occupation (p106) astronaut (q11631)']

